Date,Price,High,Low,Close,Adj Close,Volume
20230905,30.700001,30.700001,29.85,29.9,29.381708,46600
20230906,29.9,30.219999,29.9,30.15,29.627377,39700
20230907,30.129999,30.129999,29.67,30.02,29.49963,67800
20230908,30.02,30.27,29.9,30.02,29.49963,24700
20230911,30.18,30.41,29.950001,30.4,29.873041,48300
20230912,30.41,30.91,30.33,30.9,30.364374,67400
20230913,30.860001,31.389999,30.799999,31.309999,30.767269,50800
20230914,31.360001,32.0,31.360001,31.950001,31.396175,43500
20230915,31.959999,32.09,31.5,31.57,31.022762,151200
20230918,31.620001,31.68,30.799999,30.9,30.364374,88200
20230919,30.879999,31.440001,30.809999,31.09,30.551083,102000
20230920,31.139999,31.709999,30.73,31.35,30.806576,68200
20230921,31.129999,31.42,30.75,30.85,30.315241,115700
20230922,30.83,30.860001,30.09,30.129999,29.607721,100700
20230925,30.0,30.35,29.440001,29.540001,29.02795,100800
20230926,29.49,30.0,29.120001,29.18,28.674192,83100
20230927,29.459999,29.889999,28.700001,29.190001,28.684017,94500
20230928,28.969999,29.139999,28.639999,28.709999,28.212336,87300
20230929,28.860001,28.860001,28.16,28.25,27.760311,102800
20231002,28.120001,28.85,27.77,27.83,27.347589,73100
20231003,27.59,27.59,23.799999,23.940001,23.525021,386000
20231004,24.469999,25.26,24.32,25.200001,24.763182,139500
20231005,25.129999,25.440001,24.629999,24.74,24.311153,119500
20231006,24.700001,25.68,24.379999,25.360001,24.920404,115500
20231009,25.190001,25.620001,25.190001,25.41,24.96954,66000
20231010,25.610001,26.1,25.030001,25.16,24.723873,85900
20231011,25.32,26.02,24.959999,25.83,25.382259,106900
20231012,25.77,25.77,24.33,24.85,24.419249,85200
20231013,25.0,25.040001,24.17,24.370001,23.947569,118100
20231016,24.629999,24.799999,24.35,24.559999,24.134274,115100
20231017,24.58,25.129999,24.5,24.68,24.252193,92100
20231018,24.48,24.48,23.370001,23.58,23.171261,104400
20231019,23.559999,23.700001,22.9,23.01,22.611143,140100
20231020,23.07,23.4,22.68,22.799999,22.404779,79200
20231023,22.790001,22.93,22.23,22.290001,21.903622,80000
20231024,22.52,22.52,21.780001,22.219999,21.834835,157100
